company,page_title,no_views
Facebook,Facebook,1
Google,Google_Earth,1
Google,Google,13
Google,Google_Ads,1
Google,Google_dorkinq,2
Google,Google_tarixi,1
Microsoft,Microsoft_Excel,1
Microsoft,Microsoft_Paint,1
Microsoft,Microsoft_PowerPoint,1
Microsoft,Microsoft_Word,1
Amazon,Amazon_yağış_meşələri,1
Google,Google,1
Google,Google_Photos,1
Microsoft,Microsoft_Office,1
Microsoft,Microsoft_Windows,1
Amazon,Amazon_(компания),1
Facebook,Facebook,1
Amazon,Amazon.com,1
Google,Google_AdWords,1
Google,Google_Play,2
Amazon,Amazon_(embregerezh),1
Amazon,Amazon_(kompanija),1
Microsoft,Microsoft_Excel,1
Microsoft,Microsoft_Teams,1
Apple,Apple_Inc.,2
Amazon,Amazon_Alexa,1
Apple,Apple_M4,1
Facebook,Facebook,5
Facebook,Facebook_Messenger,1
Google,Google,1
Google,Google_Chrome,1
Google,Google_Tag_Manager,1
Microsoft,Microsoft,2
Microsoft,Microsoft_Lumia_950,1
Microsoft,Microsoft_Windows,1
Amazon,Amazon_Alexa,2
Apple,Apple_A15,1
Apple,Apple_Intelligence,1
Apple,Apple_Watch,1
Facebook,Facebook,5
Google,Google,1
Google,Google_Finance,1
Google,Google_Pixel,2
Microsoft,Microsoft,1
Microsoft,Microsoft_Windows,1
Google,Google_po_pěti_letech_dokončil_písmo_Noto,1
Google,Google,1
Microsoft,Microsoft_Windows_7,2
Google,Google,1
Google,Google_Drev,1
Amazon,Amazon,4
Amazon,Amazon.com,1
Amazon,Amazon_Echo,4
Amazon,Amazon_Freevee,1
Amazon,Amazon_Games,2
Amazon,Amazon_Web_Services,2
Apple,Apple,5
Apple,Apple_Books,1
Apple,Apple_Cinema_Display,2
Apple,Apple_Corps,1
Apple,Apple_M1_Pro,1
Apple,Apple_M3,1
Apple,Apple_M3_Max,1
Apple,Apple_M4,2
Apple,Apple_M8,1
Apple,Apple_Pippin,1
Apple,Apple_Pro_Display_XDR,1
Apple,Apple_Retail_Germany,1
Apple,Apple_TV,1
Apple,Apple_Thunderbolt_Display,2
Apple,Apple_Wallet,3
Apple,Apple_Watch,1
Facebook,Facebook,9
Google,Google,16
Google,Google_Authenticator,1
Google,Google_Baby,1
Google,Google_Books,1
Google,Google_Chrome,1
Google,Google_Fuchsia,2
Google,Google_Gemini,2
Google,Google_Glass,2
Google,Google_Kalender,1
Google,Google_LLC,11
Google,Google_Lens,1
Google,Google_Maps,3
Google,Google_News,2
Google,Google_Pixel,1
Google,Google_Tabellen,1
Microsoft,Microsoft_365,4
Microsoft,Microsoft_Bing,1
Microsoft,Microsoft_Certified_Solutions_Developer,1
Microsoft,Microsoft_Copilot,2
Microsoft,Microsoft_Dynamics_365_Business_Central,2
Microsoft,Microsoft_Edge,1
Microsoft,Microsoft_Excel,2
Microsoft,Microsoft_Exchange_Server,1
Microsoft,Microsoft_Flight_Simulator,1
Microsoft,Microsoft_Internet_Information_Services,2
Microsoft,Microsoft_Management_Console,1
Microsoft,Microsoft_Office,2
Microsoft,Microsoft_Office_2021,1
Microsoft,Microsoft_OneDrive,1
Microsoft,Microsoft_Outlook,1
Microsoft,Microsoft_Power_Automate,1
Microsoft,Microsoft_SQL_Server,3
Microsoft,Microsoft_Solitaire_Collection,1
Microsoft,Microsoft_Surface,1
Microsoft,Microsoft_Teams,4
Microsoft,Microsoft_TechNet,1
Microsoft,Microsoft_Windows,5
Microsoft,Microsoft_Windows_1.0,1
Microsoft,Microsoft_Windows_10,15
Microsoft,Microsoft_Windows_2000,1
Microsoft,Microsoft_Windows_3.0,1
Microsoft,Microsoft_Windows_CE,1
Microsoft,Microsoft_Windows_Phone,2
Microsoft,Microsoft_Windows_Phone_8,1
Microsoft,Microsoft_Windows_RT,1
Microsoft,Microsoft_Windows_Server_2003,1
Microsoft,Microsoft_Windows_Server_2008,1
Microsoft,Microsoft_Windows_Server_2008_R2,1
Microsoft,Microsoft_Windows_Server_2012,2
Microsoft,Microsoft_Word,2
Amazon,Amazon,11
Amazon,Amazon_Fire_TV,1
Amazon,Amazon_Games,1
Amazon,Amazon_Luna,1
Amazon,Amazon_Silk,1
Amazon,Amazon_Web_Services,1
Apple,Apple,2
Apple,Apple_A7,1
Apple,Apple_Arcade,2
Apple,Apple_II,1
Apple,Apple_Intelligence,1
Apple,Apple_Lisa,1
Apple,Apple_M1,1
Apple,Apple_M7,1
